inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,1,194,37,739,2024-09-01
2,1,3,14,28,916,2025-05-02
3,2,4,356,10,998,2025-07-26
4,3,1,30,23,393,2025-09-08
5,3,4,385,20,450,2025-02-14
6,4,1,343,50,651,2025-08-31
7,5,1,41,41,537,2025-11-02
8,6,2,130,43,939,2025-05-20
9,6,5,32,23,308,2025-06-30
10,7,1,463,26,333,2024-05-27
11,7,1,108,15,408,2024-03-11
12,8,3,401,39,680,2025-04-27
13,8,4,97,11,850,2025-01-27
14,8,5,360,48,377,2025-08-01
15,9,3,118,24,780,2025-08-02
16,9,3,121,19,778,2025-12-18
17,10,5,262,27,200,2024-06-15
18,11,4,58,40,982,2025-11-22
19,11,4,102,31,752,2024-09-24
20,12,3,332,48,767,2024-12-24
21,12,3,496,27,414,2024-08-22
22,13,1,164,42,639,2025-10-20
23,14,3,247,30,598,2025-03-13
24,14,2,125,34,684,2025-05-01
25,14,5,290,12,766,2024-10-21
26,15,4,362,46,530,2024-06-24
27,15,3,150,15,834,2025-05-01
28,16,3,39,47,514,2024-12-28
29,16,2,305,21,480,2024-10-10
30,16,1,22,29,274,2024-09-05
31,17,5,18,44,301,2025-11-12
32,17,2,249,46,520,2025-01-19
33,17,3,330,46,202,2025-05-03
34,18,3,331,16,443,2024-12-02
35,19,3,162,46,889,2024-09-19
36,20,4,299,30,863,2024-11-26
37,20,3,430,15,790,2024-02-29
38,21,1,102,36,537,2025-12-26
39,21,2,360,39,746,2025-10-06
40,22,4,320,49,309,2025-09-09
41,23,1,413,25,546,2024-05-29
42,23,4,109,33,742,2024-08-24
43,23,2,153,25,660,2024-05-28
44,24,5,490,49,295,2024-01-24
45,24,1,160,48,327,2025-07-26
46,25,2,204,24,711,2024-02-06
47,25,1,205,43,924,2024-06-11
48,26,2,104,49,234,2024-04-26
49,26,4,285,21,879,2025-03-15
50,26,5,235,47,681,2025-11-27
51,27,2,299,34,277,2025-11-30
52,27,5,137,13,426,2025-07-11
53,27,2,72,36,708,2024-04-11
54,28,3,479,32,332,2024-03-04
55,29,3,296,42,813,2025-10-06
56,29,5,245,33,639,2025-11-17
57,29,4,11,35,930,2025-04-08
58,30,2,84,11,246,2024-07-21
59,31,3,30,49,970,2024-01-27
60,31,2,486,29,808,2024-06-25
61,32,3,447,10,410,2025-09-22
62,33,2,190,27,289,2024-03-24
63,33,3,132,38,665,2025-03-24
64,34,1,240,45,991,2025-03-23
65,35,5,125,32,248,2025-07-23
66,35,1,389,49,591,2025-03-04
67,36,5,185,17,968,2025-06-12
68,37,5,164,16,671,2024-05-31
69,38,4,316,21,656,2024-10-11
70,39,2,488,12,799,2025-10-23
71,39,1,197,26,805,2024-05-26
72,40,5,370,50,276,2024-08-16
73,40,4,404,47,808,2025-11-09
74,41,3,292,22,668,2025-11-02
75,41,4,267,45,829,2025-04-19
76,41,2,292,37,454,2024-08-13
77,42,5,339,49,700,2024-07-23
78,42,2,29,31,823,2024-12-29
79,43,5,132,34,960,2024-11-02
80,44,1,69,38,537,2024-12-02
81,45,2,295,42,528,2024-04-29
82,45,5,469,39,558,2025-09-16
83,45,2,462,10,846,2025-02-03
84,46,3,268,43,685,2024-08-05
85,46,2,260,32,646,2024-06-07
86,47,4,275,30,354,2025-03-25
87,47,1,7,30,786,2025-02-26
88,48,4,72,10,631,2025-04-28
89,48,3,30,37,699,2025-11-10
90,48,5,429,39,911,2025-11-23
91,49,5,419,28,408,2025-06-07
92,50,5,322,11,949,2024-02-03
93,51,3,389,40,487,2025-02-28
94,52,4,192,19,606,2025-12-11
95,52,1,226,48,313,2025-06-21
96,52,4,406,34,871,2025-12-08
97,53,3,488,23,578,2025-10-14
98,53,1,198,44,378,2024-08-14
99,53,2,107,50,471,2025-05-20
100,54,3,388,43,256,2025-02-06
101,55,2,490,26,510,2025-09-11
102,56,3,135,23,782,2025-10-23
103,56,3,295,47,482,2024-05-04
104,57,1,135,25,632,2024-04-30
105,57,2,170,11,526,2025-05-05
106,57,3,205,41,630,2024-10-24
107,58,2,285,48,722,2024-05-17
108,58,5,326,33,551,2025-07-13
109,59,5,414,12,281,2024-02-05
110,59,2,280,10,573,2025-08-03
111,60,4,242,31,257,2024-04-07
112,61,4,316,26,967,2025-01-31
113,61,4,256,21,384,2024-08-06
114,62,3,368,16,682,2024-11-03
115,62,5,84,37,507,2024-03-31
116,62,1,413,14,555,2024-08-22
117,63,3,195,14,865,2024-09-06
118,64,1,290,43,720,2025-03-20
119,64,2,213,34,930,2025-06-03
120,65,5,325,37,906,2024-12-20
121,66,2,132,10,821,2025-12-23
122,67,2,456,35,640,2024-11-17
123,67,2,191,28,689,2025-05-10
124,67,4,103,37,717,2024-11-16
125,68,1,281,41,859,2024-02-16
126,69,3,333,46,312,2024-07-24
127,69,4,432,34,615,2024-09-22
128,69,5,447,48,257,2024-01-19
129,70,1,257,20,681,2025-05-28
130,70,5,176,44,515,2025-09-02
131,71,3,427,39,667,2024-02-06
132,71,4,231,43,424,2024-12-17
133,72,5,246,14,283,2024-02-28
134,72,5,186,38,645,2024-09-19
135,73,2,469,28,899,2024-01-15
136,74,5,424,31,818,2025-01-28
137,74,3,198,13,792,2024-03-01
138,75,3,65,40,290,2024-04-18
139,76,5,168,30,870,2025-12-07
140,76,2,58,34,945,2024-09-25
141,77,2,398,19,434,2024-07-01
142,77,5,173,10,537,2025-02-09
143,77,5,466,32,227,2024-07-21
144,78,2,487,11,200,2024-01-03
145,79,4,411,23,638,2025-02-19
146,79,4,251,36,236,2025-09-02
147,79,2,213,23,582,2025-09-05
148,80,4,367,17,670,2025-06-11
149,80,2,53,33,472,2024-05-02
150,80,1,221,47,771,2025-07-17
151,81,5,423,27,431,2024-05-09
152,81,3,278,28,701,2025-11-02
153,82,2,46,47,728,2024-05-17
