order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,39,2,259.68,519.36
2,1,2,5,13.76,68.8
3,1,83,1,470.19,470.19
4,1,55,4,47.97,191.88
5,2,87,3,485.79,1457.37
6,3,49,5,168.14,840.7
7,3,61,1,309.79,309.79
8,4,85,3,65.06,195.18
9,4,16,1,54.7,54.7
10,4,15,3,31.65,94.95
11,4,26,4,20.11,80.44
12,4,12,2,195.25,390.5
13,5,44,3,183.81,551.43
14,5,61,1,309.79,309.79
15,5,86,1,405.91,405.91
16,5,14,3,40.76,122.28
17,5,6,4,386.9,1547.6
18,6,16,1,54.7,54.7
19,7,47,3,288.68,866.04
20,7,69,1,64.44,64.44
21,7,38,4,293.18,1172.72
22,7,19,4,59.16,236.64
23,8,40,3,225.49,676.47
24,8,12,3,195.25,585.75
25,8,48,3,160.97,482.91
26,8,90,1,420.61,420.61
27,8,62,2,444.18,888.36
28,9,10,5,360.58,1802.9
29,9,69,2,64.44,128.88
30,10,73,2,446.53,893.06
31,10,21,4,360.32,1441.28
32,10,74,1,463.46,463.46
33,10,51,3,290.5,871.5
34,11,42,4,241.8,967.2
35,11,57,2,55.56,111.12
36,11,67,1,319.21,319.21
37,11,38,3,293.18,879.54
38,11,24,4,386.82,1547.28
39,12,67,3,319.21,957.63
40,12,89,2,133.38,266.76
41,12,34,5,435.95,2179.75
42,13,56,2,208.09,416.18
43,13,26,3,20.11,60.33
44,13,15,4,31.65,126.6
45,14,63,4,380.74,1522.96
46,15,21,1,360.32,360.32
47,15,68,1,488.86,488.86
48,15,47,1,288.68,288.68
49,16,21,1,360.32,360.32
50,16,43,2,365.01,730.02
51,17,33,4,99.83,399.32
52,17,48,2,160.97,321.94
53,17,18,2,111.88,223.76
54,18,12,2,195.25,390.5
55,18,30,5,193.42,967.1
56,18,92,3,267.01,801.03
57,19,32,2,100.46,200.92
58,19,24,4,386.82,1547.28
59,19,75,3,190.13,570.39
60,19,64,4,404.34,1617.36
61,19,82,2,327.17,654.34
62,20,47,4,288.68,1154.72
63,20,70,4,380.26,1521.04
64,20,90,1,420.61,420.61
65,21,32,4,100.46,401.84
66,21,19,5,59.16,295.8
67,21,3,1,275.8,275.8
68,22,30,5,193.42,967.1
69,22,39,2,259.68,519.36
70,22,23,2,157.5,315
71,22,32,3,100.46,301.38
72,23,38,3,293.18,879.54
73,23,48,2,160.97,321.94
74,24,27,5,109.12,545.6
75,24,25,1,392.86,392.86
76,24,98,4,152.13,608.52
77,25,98,5,152.13,760.65
78,25,84,5,362.77,1813.85
79,25,63,3,380.74,1142.22
80,25,78,1,441.78,441.78
81,26,9,5,93.48,467.4
82,26,19,4,59.16,236.64
83,26,4,5,217.56,1087.8
84,26,79,5,460.63,2303.15
85,26,11,2,300.33,600.66
86,27,94,3,443.5,1330.5
87,27,83,2,470.19,940.38
88,27,77,1,493.21,493.21
89,27,55,2,47.97,95.94
90,28,73,5,446.53,2232.65
91,28,67,4,319.21,1276.84
92,28,62,1,444.18,444.18
93,28,31,4,492.66,1970.64
94,29,2,1,13.76,13.76
95,29,18,3,111.88,335.64
96,30,6,4,386.9,1547.6
97,30,55,5,47.97,239.85
98,30,6,2,386.9,773.8
99,30,19,4,59.16,236.64
100,30,6,1,386.9,386.9
101,31,24,2,386.82,773.64
102,32,14,1,40.76,40.76
103,32,93,3,389.08,1167.24
104,32,87,5,485.79,2428.95
105,32,84,3,362.77,1088.31
106,33,40,1,225.49,225.49
107,33,69,1,64.44,64.44
108,34,12,5,195.25,976.25
109,34,76,1,283.55,283.55
110,34,39,2,259.68,519.36
111,34,25,2,392.86,785.72
112,35,63,5,380.74,1903.7
113,35,86,1,405.91,405.91
114,35,76,3,283.55,850.65
115,35,66,3,102.27,306.81
116,35,70,4,380.26,1521.04
117,36,98,2,152.13,304.26
118,36,61,4,309.79,1239.16
119,36,98,5,152.13,760.65
120,37,23,3,157.5,472.5
121,37,14,3,40.76,122.28
122,37,6,2,386.9,773.8
123,38,29,5,118.85,594.25
124,38,31,3,492.66,1477.98
125,38,57,3,55.56,166.68
126,38,38,1,293.18,293.18
127,39,15,1,31.65,31.65
128,39,69,2,64.44,128.88
129,39,38,3,293.18,879.54
130,39,86,1,405.91,405.91
131,40,79,5,460.63,2303.15
132,40,7,3,102.83,308.49
133,40,93,1,389.08,389.08
134,40,5,2,175.97,351.94
135,40,71,4,234.88,939.52
136,41,66,4,102.27,409.08
137,42,48,2,160.97,321.94
138,42,1,2,263.13,526.26
139,42,80,3,135.98,407.94
140,43,70,3,380.26,1140.78
141,43,77,3,493.21,1479.63
142,43,75,2,190.13,380.26
143,43,7,2,102.83,205.66
144,44,19,4,59.16,236.64
145,44,10,2,360.58,721.16
146,45,81,3,69.38,208.14
147,45,31,4,492.66,1970.64
148,45,15,5,31.65,158.25
149,45,59,2,132.49,264.98
150,46,70,5,380.26,1901.3
151,46,75,2,190.13,380.26
152,46,13,1,260.92,260.92
153,46,72,3,257.72,773.16
154,46,19,4,59.16,236.64
155,47,31,2,492.66,985.32
156,48,84,4,362.77,1451.08
157,48,12,1,195.25,195.25
158,49,86,1,405.91,405.91
159,50,88,2,322.06,644.12
160,50,22,5,271.14,1355.7
161,50,8,4,297.2,1188.8
162,50,33,2,99.83,199.66
163,50,48,3,160.97,482.91
164,51,1,3,263.13,789.39
165,52,1,1,263.13,263.13
166,53,35,2,121.6,243.2
167,53,80,5,135.98,679.9
168,54,15,4,31.65,126.6
169,54,98,1,152.13,152.13
170,54,88,3,322.06,966.18
171,55,57,4,55.56,222.24
172,56,95,4,397.59,1590.36
173,56,17,5,375.79,1878.95
174,56,16,1,54.7,54.7
175,56,69,5,64.44,322.2
176,56,93,3,389.08,1167.24
177,57,97,4,337.32,1349.28
178,57,17,2,375.79,751.58
179,58,71,3,234.88,704.64
180,58,81,5,69.38,346.9
181,58,53,4,105.42,421.68
182,58,1,4,263.13,1052.52
183,58,62,1,444.18,444.18
184,59,91,1,336.75,336.75
185,59,25,4,392.86,1571.44
186,59,3,3,275.8,827.4
187,60,36,1,146.18,146.18
188,60,22,5,271.14,1355.7
189,60,66,5,102.27,511.35
190,61,62,2,444.18,888.36
191,62,69,4,64.44,257.76
192,62,10,3,360.58,1081.74
193,62,96,1,24.45,24.45
194,62,74,4,463.46,1853.84
195,62,13,4,260.92,1043.68
196,63,88,5,322.06,1610.3
197,63,96,4,24.45,97.8
198,64,87,2,485.79,971.58
199,64,62,4,444.18,1776.72
200,65,25,1,392.86,392.86
201,66,50,1,58.66,58.66
202,66,70,2,380.26,760.52
203,67,40,3,225.49,676.47
204,68,51,1,290.5,290.5
205,69,89,1,133.38,133.38
206,69,95,5,397.59,1987.95
207,69,20,2,411.46,822.92
208,69,33,1,99.83,99.83
209,69,95,5,397.59,1987.95
210,70,63,1,380.74,380.74
211,70,60,5,317.43,1587.15
212,71,100,3,479.73,1439.19
213,71,32,5,100.46,502.3
214,71,28,3,299.14,897.42
215,71,38,5,293.18,1465.9
216,71,84,3,362.77,1088.31
217,72,34,1,435.95,435.95
218,72,7,5,102.83,514.15
219,72,11,2,300.33,600.66
220,73,1,5,263.13,1315.65
221,73,20,5,411.46,2057.3
222,73,51,1,290.5,290.5
223,74,81,3,69.38,208.14
224,74,95,2,397.59,795.18
225,75,39,2,259.68,519.36
226,76,10,1,360.58,360.58
227,76,32,2,100.46,200.92
228,77,77,4,493.21,1972.84
229,77,67,4,319.21,1276.84
230,77,39,4,259.68,1038.72
231,78,69,1,64.44,64.44
232,79,100,2,479.73,959.46
233,79,92,4,267.01,1068.04
234,80,60,4,317.43,1269.72
235,80,98,3,152.13,456.39
236,80,29,2,118.85,237.7
237,80,77,1,493.21,493.21
238,80,7,2,102.83,205.66
239,81,21,2,360.32,720.64
240,82,57,5,55.56,277.8
241,83,98,3,152.13,456.39
242,84,73,2,446.53,893.06
243,84,38,2,293.18,586.36
244,84,59,1,132.49,132.49
245,85,47,2,288.68,577.36
246,85,94,4,443.5,1774
247,85,14,4,40.76,163.04
248,86,67,5,319.21,1596.05
249,86,11,1,300.33,300.33
250,87,16,1,54.7,54.7
