total_amount,order_id
61289.04,15
56298.35,17
56137.07,13
56013.840000000004,16
53936.0,15
53201.17,16
51889.35,16
51431.32,18
49883.92,16
49815.51,15
49650.74,19
49104.23,16
48846.97,15
47938.88,15
47803.41,15
47443.77,14
47386.3,14
47336.05,15
47195.03,13
46986.0,15
46982.76,12
46748.39,13
46723.619999999995,14
45789.93,16
45194.21,20
44881.19,13
44263.090000000004,16
43895.259999999995,12
43638.67,15
43561.99,15
43461.34,14
43241.37,13
43047.33,13
42930.95,15
42597.67,13
42317.88,15
42299.71,10
42194.51,14
42165.479999999996,16
42103.11,14
42075.38,13
42022.56,12
41987.46,14
41958.51,14
41700.06,12
41619.66,15
41599.16,15
41495.59,13
41472.0,14
41302.9,13
41299.44,14
41144.96,10
41128.5,13
41110.33,18
40969.92,13
40844.5,13
40485.1,12
40479.68,11
40298.38,11
40018.6,12
39998.29,9
39874.81,13
39801.18,10
39800.54,13
39739.8,13
39686.68,14
39681.81,14
39678.98,11
39672.34,14
39599.33,12
39488.06,14
39385.31,12
39225.43,14
39152.54,13
39137.54,13
39054.0,14
38906.2,11
38723.69,13
38680.02,13
38617.46,15
38390.880000000005,13
38344.32,11
38278.29,13
38047.7,14
38039.97,12
37975.72,13
37944.83,13
37845.74,14
37805.35,11
37786.44,17
37534.56,10
37371.91,11
37222.76,14
37134.94,10
36980.57,13
36952.18,12
36902.91,14
36748.04,12
36584.06,14
36576.83,14
36436.84,12
36248.54,11
36160.39,11
36115.96,12
36084.75,11
35728.28,14
35727.51,11
35718.24,9
35629.09,15
35626.87,13
35585.85,10
35464.979999999996,9
35366.270000000004,8
35312.19,14
35241.89,13
35196.07,10
35149.03,13
35133.62,14
35006.36,13
34954.08,10
34913.14,8
34897.33,13
34819.38,11
34816.24,12
34505.08,10
34434.05,12
34384.41,9
34331.7,10
34289.65,10
34248.14,12
34238.869999999995,12
34189.69,12
34144.76,14
33802.8,13
33747.0,15
33660.020000000004,10
33650.78,11
33540.92,14
33532.04,11
33377.020000000004,11
33322.99,13
33302.950000000004,12
33207.79,11
33202.14,17
33179.01,11
33076.63,11
33062.55,12
33039.84,10
33007.71,15
32945.96,13
32907.05,12
32852.630000000005,11
32851.9,10
32840.81,9
32830.159999999996,12
32733.8,12
32704.39,11
32677.21,9
