month,total_amount
2023-01,388310.36
2023-02,370564.94
2023-03,435606.63
2023-04,425229.82
2023-05,424234.8
2023-06,418049.07
2023-07,368518.49
2023-08,422111.89
2023-09,337177.44
2023-10,398178.99
2023-11,367416.77999999997
2023-12,394752.44
2024-01,391794.18
2024-02,372134.06
2024-03,346357.15
2024-04,387433.09
2024-05,452214.10000000003
2024-06,326619.2
2024-07,418971.36
2024-08,361237.3
2024-09,322430.65
2024-10,423959.54
2024-11,376538.08
2024-12,373482.69
2025-01,443123.22
2025-02,411052.98
2025-03,407049.64
2025-04,443196.66
2025-05,387460.97
2025-06,337162.21
2025-07,375989.23
2025-08,400908.07
2025-09,366906.04
2025-10,380858.74
2025-11,406689.89
2025-12,324402.46
